budget,method,mean,std
25,TupleFuse-Vote-LCB,0.9438,0.0383
25,TupleFuse-Vote-LCB-Decay,0.8781,0.0339
25,TupleFuse-Vote-Mean,0.9651,0.009
25,Weighted-Voting-Field,0.9422,0.0426
25,Weighted-Voting-Global,0.9692,0.011
50,TupleFuse-Vote-LCB,0.9787,0.0144
50,TupleFuse-Vote-LCB-Decay,0.9552,0.0342
50,TupleFuse-Vote-Mean,0.9725,0.0075
50,Weighted-Voting-Field,0.9739,0.0078
50,Weighted-Voting-Global,0.9741,0.0079
100,TupleFuse-Vote-LCB,0.98,0.0168
100,TupleFuse-Vote-LCB-Decay,0.9833,0.0086
100,TupleFuse-Vote-Mean,0.9767,0.0083
100,Weighted-Voting-Field,0.9787,0.0081
100,Weighted-Voting-Global,0.9735,0.0049
200,TupleFuse-Vote-LCB,0.9874,0.003
200,TupleFuse-Vote-LCB-Decay,0.994,0.0026
200,TupleFuse-Vote-Mean,0.979,0.0051
200,Weighted-Voting-Field,0.9829,0.0025
200,Weighted-Voting-Global,0.9754,0.0017
300,TupleFuse-Vote-LCB,0.9868,0.0
300,TupleFuse-Vote-LCB-Decay,0.9933,0.0
300,TupleFuse-Vote-Mean,0.9836,0.0
300,Weighted-Voting-Field,0.9836,0.0
300,Weighted-Voting-Global,0.9738,0.0
