source_id,evidence,trust_brand,trust_description,trust_title,variance,range
src_6,207.0,0.8614,0.6146,0.1364,0.0906,0.725
src_11,142.0,0.7419,0.7468,0.1538,0.0775,0.593
src_5,119.0,0.8163,0.6575,0.2222,0.0631,0.5941
src_9,173.0,0.6818,0.5667,0.1034,0.0625,0.5784
src_2,140.0,0.7167,0.7013,0.2,0.0576,0.5167
src_10,154.0,0.7077,0.5867,0.1538,0.0565,0.5538
src_0,147.0,0.7419,0.7,0.2353,0.0527,0.5066
src_3,143.0,0.7458,0.6842,0.25,0.0487,0.4958
src_4,145.0,0.7188,0.6849,0.3,0.0361,0.4188
src_8,150.0,0.6957,0.7407,0.3333,0.0333,0.4074
src_7,146.0,0.7302,0.6494,0.3333,0.0293,0.3968
src_1,143.0,0.6833,0.6076,0.3125,0.0256,0.3708
src_16,433.0,0.9368,0.8351,0.6866,0.0106,0.2503
src_14,361.0,0.9351,0.8385,0.7241,0.0074,0.2109
src_12,269.0,0.899,0.8963,0.766,0.0039,0.133
src_15,414.0,0.9333,0.8859,0.8065,0.0027,0.1269
src_13,246.0,0.7746,0.8156,0.7826,0.0003,0.041
