seed,delta,tau,precision,coverage,recall,F1,selective_risk
0,0.2,0.0,0.9665,1.0,0.9665,0.9665,0.0335
0,0.2,0.2,0.9665,1.0,0.9665,0.9665,0.0335
0,0.2,0.4,0.9698,0.9707,0.9414,0.9554,0.0302
0,0.2,0.6,1.0,0.8201,0.8201,0.9011,0.0
0,0.2,0.8,1.0,0.6611,0.6611,0.796,0.0
0,0.1,0.0,0.9665,1.0,0.9665,0.9665,0.0335
0,0.1,0.2,0.9665,1.0,0.9665,0.9665,0.0335
0,0.1,0.4,0.9701,0.9791,0.9498,0.9598,0.0299
0,0.1,0.6,1.0,0.8159,0.8159,0.8986,0.0
0,0.1,0.8,1.0,0.6611,0.6611,0.796,0.0
0,0.05,0.0,0.9665,1.0,0.9665,0.9665,0.0335
0,0.05,0.2,0.9665,1.0,0.9665,0.9665,0.0335
0,0.05,0.4,0.9702,0.9833,0.954,0.962,0.0298
0,0.05,0.6,1.0,0.8285,0.8285,0.9062,0.0
0,0.05,0.8,1.0,0.6653,0.6653,0.799,0.0
0,0.01,0.0,0.9707,1.0,0.9707,0.9707,0.0293
0,0.01,0.2,0.9707,1.0,0.9707,0.9707,0.0293
0,0.01,0.4,0.9703,0.9874,0.9582,0.9642,0.0297
0,0.01,0.6,1.0,0.841,0.841,0.9136,0.0
0,0.01,0.8,1.0,0.6778,0.6778,0.808,0.0
1,0.2,0.0,0.9689,1.0,0.9689,0.9689,0.0311
1,0.2,0.2,0.9688,0.9961,0.965,0.9669,0.0312
1,0.2,0.4,0.9754,0.9494,0.9261,0.9501,0.0246
1,0.2,0.6,1.0,0.8016,0.8016,0.8898,0.0
1,0.2,0.8,1.0,0.5837,0.5837,0.7371,0.0
1,0.1,0.0,0.9689,1.0,0.9689,0.9689,0.0311
1,0.1,0.2,0.9688,0.9961,0.965,0.9669,0.0312
1,0.1,0.4,0.9756,0.9572,0.9339,0.9543,0.0244
1,0.1,0.6,1.0,0.8016,0.8016,0.8898,0.0
1,0.1,0.8,1.0,0.5914,0.5914,0.7433,0.0
1,0.05,0.0,0.9689,1.0,0.9689,0.9689,0.0311
1,0.05,0.2,0.9688,0.9961,0.965,0.9669,0.0312
1,0.05,0.4,0.9757,0.9611,0.9377,0.9563,0.0243
1,0.05,0.6,1.0,0.8054,0.8054,0.8922,0.0
1,0.05,0.8,1.0,0.5914,0.5914,0.7433,0.0
1,0.01,0.0,0.9728,1.0,0.9728,0.9728,0.0272
1,0.01,0.2,0.9727,0.9961,0.9689,0.9708,0.0273
1,0.01,0.4,0.9798,0.965,0.9455,0.9624,0.0202
1,0.01,0.6,1.0,0.821,0.821,0.9017,0.0
1,0.01,0.8,1.0,0.6031,0.6031,0.7524,0.0
2,0.2,0.0,0.9792,1.0,0.9792,0.9792,0.0208
2,0.2,0.2,0.9792,1.0,0.9792,0.9792,0.0208
2,0.2,0.4,0.987,0.9583,0.9458,0.966,0.013
2,0.2,0.6,1.0,0.7958,0.7958,0.8863,0.0
2,0.2,0.8,1.0,0.5875,0.5875,0.7402,0.0
2,0.1,0.0,0.9833,1.0,0.9833,0.9833,0.0167
2,0.1,0.2,0.9833,1.0,0.9833,0.9833,0.0167
2,0.1,0.4,0.987,0.9583,0.9458,0.966,0.013
2,0.1,0.6,1.0,0.8167,0.8167,0.8991,0.0
2,0.1,0.8,1.0,0.5958,0.5958,0.7467,0.0
2,0.05,0.0,0.9833,1.0,0.9833,0.9833,0.0167
2,0.05,0.2,0.9833,1.0,0.9833,0.9833,0.0167
2,0.05,0.4,0.987,0.9625,0.95,0.9682,0.013
2,0.05,0.6,1.0,0.8292,0.8292,0.9066,0.0
2,0.05,0.8,1.0,0.6042,0.6042,0.7532,0.0
2,0.01,0.0,0.9833,1.0,0.9833,0.9833,0.0167
2,0.01,0.2,0.9833,1.0,0.9833,0.9833,0.0167
2,0.01,0.4,0.987,0.9625,0.95,0.9682,0.013
2,0.01,0.6,1.0,0.8417,0.8417,0.914,0.0
2,0.01,0.8,1.0,0.6167,0.6167,0.7629,0.0
