window,method,bad_mean_trust,scenario
2,TF-Vote-NoDecay,0.7623,sudden|2src|brand
2,TF-Vote-Decay-3.0,0.58,sudden|2src|brand
3,TF-Vote-NoDecay,0.7735,sudden|2src|brand
3,TF-Vote-Decay-3.0,0.612,sudden|2src|brand
4,TF-Vote-NoDecay,0.7917,sudden|2src|brand
4,TF-Vote-Decay-3.0,0.6456,sudden|2src|brand
5,TF-Vote-NoDecay,0.7653,sudden|2src|brand
5,TF-Vote-Decay-3.0,0.6141,sudden|2src|brand
6,TF-Vote-NoDecay,0.7426,sudden|2src|brand
6,TF-Vote-Decay-3.0,0.6015,sudden|2src|brand
7,TF-Vote-NoDecay,0.7235,sudden|2src|brand
7,TF-Vote-Decay-3.0,0.5888,sudden|2src|brand
8,TF-Vote-NoDecay,0.7067,sudden|2src|brand
8,TF-Vote-Decay-3.0,0.5818,sudden|2src|brand
2,TF-Vote-NoDecay,0.7623,sudden|2src|title
2,TF-Vote-Decay-3.0,0.58,sudden|2src|title
3,TF-Vote-NoDecay,0.7735,sudden|2src|title
3,TF-Vote-Decay-3.0,0.612,sudden|2src|title
4,TF-Vote-NoDecay,0.7917,sudden|2src|title
4,TF-Vote-Decay-3.0,0.6456,sudden|2src|title
5,TF-Vote-NoDecay,0.7764,sudden|2src|title
5,TF-Vote-Decay-3.0,0.6487,sudden|2src|title
6,TF-Vote-NoDecay,0.754,sudden|2src|title
6,TF-Vote-Decay-3.0,0.6462,sudden|2src|title
7,TF-Vote-NoDecay,0.7393,sudden|2src|title
7,TF-Vote-Decay-3.0,0.6468,sudden|2src|title
8,TF-Vote-NoDecay,0.7284,sudden|2src|title
8,TF-Vote-Decay-3.0,0.6522,sudden|2src|title
2,TF-Vote-NoDecay,0.7623,sudden|2src|brand+title
2,TF-Vote-Decay-3.0,0.58,sudden|2src|brand+title
3,TF-Vote-NoDecay,0.7735,sudden|2src|brand+title
3,TF-Vote-Decay-3.0,0.612,sudden|2src|brand+title
4,TF-Vote-NoDecay,0.7917,sudden|2src|brand+title
4,TF-Vote-Decay-3.0,0.6456,sudden|2src|brand+title
5,TF-Vote-NoDecay,0.7432,sudden|2src|brand+title
5,TF-Vote-Decay-3.0,0.5991,sudden|2src|brand+title
6,TF-Vote-NoDecay,0.6902,sudden|2src|brand+title
6,TF-Vote-Decay-3.0,0.5645,sudden|2src|brand+title
7,TF-Vote-NoDecay,0.6491,sudden|2src|brand+title
7,TF-Vote-Decay-3.0,0.5395,sudden|2src|brand+title
8,TF-Vote-NoDecay,0.615,sudden|2src|brand+title
8,TF-Vote-Decay-3.0,0.5215,sudden|2src|brand+title
2,TF-Vote-NoDecay,0.7212,sudden|3src|brand
2,TF-Vote-Decay-3.0,0.565,sudden|3src|brand
3,TF-Vote-NoDecay,0.7597,sudden|3src|brand
3,TF-Vote-Decay-3.0,0.6014,sudden|3src|brand
4,TF-Vote-NoDecay,0.7747,sudden|3src|brand
4,TF-Vote-Decay-3.0,0.631,sudden|3src|brand
5,TF-Vote-NoDecay,0.7494,sudden|3src|brand
5,TF-Vote-Decay-3.0,0.6048,sudden|3src|brand
6,TF-Vote-NoDecay,0.7261,sudden|3src|brand
6,TF-Vote-Decay-3.0,0.5906,sudden|3src|brand
7,TF-Vote-NoDecay,0.7082,sudden|3src|brand
7,TF-Vote-Decay-3.0,0.5814,sudden|3src|brand
8,TF-Vote-NoDecay,0.692,sudden|3src|brand
