window,method,F1,n,scenario
1,WV-static,0.7396,338,sudden|2src|brand
1,TF-Vote-NoDecay,0.7396,338,sudden|2src|brand
1,TF-Vote-Decay-3.0,0.7396,338,sudden|2src|brand
2,WV-static,0.7902,491,sudden|2src|brand
2,TF-Vote-NoDecay,0.7862,491,sudden|2src|brand
2,TF-Vote-Decay-3.0,0.7882,491,sudden|2src|brand
3,WV-static,0.8155,580,sudden|2src|brand
3,TF-Vote-NoDecay,0.8155,580,sudden|2src|brand
3,TF-Vote-Decay-3.0,0.8172,580,sudden|2src|brand
4,WV-static,0.814,629,sudden|2src|brand
4,TF-Vote-NoDecay,0.814,629,sudden|2src|brand
4,TF-Vote-Decay-3.0,0.8108,629,sudden|2src|brand
5,WV-static,0.8318,648,sudden|2src|brand
5,TF-Vote-NoDecay,0.8472,648,sudden|2src|brand
5,TF-Vote-Decay-3.0,0.8426,648,sudden|2src|brand
6,WV-static,0.8508,657,sudden|2src|brand
6,TF-Vote-NoDecay,0.8752,657,sudden|2src|brand
6,TF-Vote-Decay-3.0,0.8843,657,sudden|2src|brand
7,WV-static,0.8638,661,sudden|2src|brand
7,TF-Vote-NoDecay,0.9017,661,sudden|2src|brand
7,TF-Vote-Decay-3.0,0.9032,661,sudden|2src|brand
8,WV-static,0.8744,661,sudden|2src|brand
8,TF-Vote-NoDecay,0.9319,661,sudden|2src|brand
8,TF-Vote-Decay-3.0,0.9304,661,sudden|2src|brand
1,WV-static,0.7396,338,sudden|2src|title
1,TF-Vote-NoDecay,0.7396,338,sudden|2src|title
1,TF-Vote-Decay-3.0,0.7396,338,sudden|2src|title
2,WV-static,0.7902,491,sudden|2src|title
2,TF-Vote-NoDecay,0.7862,491,sudden|2src|title
2,TF-Vote-Decay-3.0,0.7882,491,sudden|2src|title
3,WV-static,0.8155,580,sudden|2src|title
3,TF-Vote-NoDecay,0.8155,580,sudden|2src|title
3,TF-Vote-Decay-3.0,0.8172,580,sudden|2src|title
4,WV-static,0.8474,629,sudden|2src|title
4,TF-Vote-NoDecay,0.8521,629,sudden|2src|title
4,TF-Vote-Decay-3.0,0.8442,629,sudden|2src|title
5,WV-static,0.8565,648,sudden|2src|title
5,TF-Vote-NoDecay,0.8673,648,sudden|2src|title
5,TF-Vote-Decay-3.0,0.8719,648,sudden|2src|title
6,WV-static,0.8828,657,sudden|2src|title
6,TF-Vote-NoDecay,0.9102,657,sudden|2src|title
6,TF-Vote-Decay-3.0,0.9011,657,sudden|2src|title
7,WV-static,0.8911,661,sudden|2src|title
7,TF-Vote-NoDecay,0.9168,661,sudden|2src|title
7,TF-Vote-Decay-3.0,0.9138,661,sudden|2src|title
8,WV-static,0.9092,661,sudden|2src|title
8,TF-Vote-NoDecay,0.9425,661,sudden|2src|title
8,TF-Vote-Decay-3.0,0.941,661,sudden|2src|title
1,WV-static,0.7396,338,sudden|2src|brand+title
1,TF-Vote-NoDecay,0.7396,338,sudden|2src|brand+title
1,TF-Vote-Decay-3.0,0.7396,338,sudden|2src|brand+title
2,WV-static,0.7902,491,sudden|2src|brand+title
2,TF-Vote-NoDecay,0.7862,491,sudden|2src|brand+title
2,TF-Vote-Decay-3.0,0.7882,491,sudden|2src|brand+title
3,WV-static,0.8155,580,sudden|2src|brand+title
3,TF-Vote-NoDecay,0.8155,580,sudden|2src|brand+title
3,TF-Vote-Decay-3.0,0.8172,580,sudden|2src|brand+title
4,WV-static,0.7981,629,sudden|2src|brand+title
4,TF-Vote-NoDecay,0.8029,629,sudden|2src|brand+title
4,TF-Vote-Decay-3.0,0.7949,629,sudden|2src|brand+title
5,WV-static,0.7994,648,sudden|2src|brand+title
5,TF-Vote-NoDecay,0.8225,648,sudden|2src|brand+title
5,TF-Vote-Decay-3.0,0.8287,648,sudden|2src|brand+title
6,WV-static,0.8082,657,sudden|2src|brand+title
6,TF-Vote-NoDecay,0.8584,657,sudden|2src|brand+title
6,TF-Vote-Decay-3.0,0.863,657,sudden|2src|brand+title
7,WV-static,0.8124,661,sudden|2src|brand+title
7,TF-Vote-NoDecay,0.8759,661,sudden|2src|brand+title
7,TF-Vote-Decay-3.0,0.8714,661,sudden|2src|brand+title
8,WV-static,0.8139,661,sudden|2src|brand+title
8,TF-Vote-NoDecay,0.9017,661,sudden|2src|brand+title
8,TF-Vote-Decay-3.0,0.9002,661,sudden|2src|brand+title
1,WV-static,0.7396,338,sudden|3src|brand
1,TF-Vote-NoDecay,0.7396,338,sudden|3src|brand
1,TF-Vote-Decay-3.0,0.7396,338,sudden|3src|brand
2,WV-static,0.7902,491,sudden|3src|brand
2,TF-Vote-NoDecay,0.7862,491,sudden|3src|brand
2,TF-Vote-Decay-3.0,0.7882,491,sudden|3src|brand
3,WV-static,0.8155,580,sudden|3src|brand
3,TF-Vote-NoDecay,0.8155,580,sudden|3src|brand
3,TF-Vote-Decay-3.0,0.8172,580,sudden|3src|brand
4,WV-static,0.806,629,sudden|3src|brand
4,TF-Vote-NoDecay,0.806,629,sudden|3src|brand
4,TF-Vote-Decay-3.0,0.8013,629,sudden|3src|brand
5,WV-static,0.8117,648,sudden|3src|brand
5,TF-Vote-NoDecay,0.8179,648,sudden|3src|brand
5,TF-Vote-Decay-3.0,0.8164,648,sudden|3src|brand
6,WV-static,0.8204,657,sudden|3src|brand
6,TF-Vote-NoDecay,0.8356,657,sudden|3src|brand
6,TF-Vote-Decay-3.0,0.8493,657,sudden|3src|brand
7,WV-static,0.8321,661,sudden|3src|brand
7,TF-Vote-NoDecay,0.8623,661,sudden|3src|brand
