scenario,method,pre_F1_W3,post_avg_F1,final_F1_W8,recovery_windows
gradual|2src|brand,TF-Vote-Decay-3.0,0.8172,0.9057,0.9531,1.0
gradual|2src|brand,TF-Vote-NoDecay,0.8155,0.9079,0.9561,1.0
gradual|2src|brand,WV-static,0.8155,0.9015,0.9349,1.0
gradual|2src|brand+title,TF-Vote-Decay-3.0,0.8172,0.8953,0.9349,1.0
gradual|2src|brand+title,TF-Vote-NoDecay,0.8155,0.8942,0.9365,1.0
gradual|2src|brand+title,WV-static,0.8155,0.8829,0.9017,1.0
gradual|2src|title,TF-Vote-Decay-3.0,0.8172,0.9066,0.9531,1.0
gradual|2src|title,TF-Vote-NoDecay,0.8155,0.9058,0.9531,1.0
gradual|2src|title,WV-static,0.8155,0.8994,0.9365,1.0
gradual|3src|brand,TF-Vote-Decay-3.0,0.8172,0.8938,0.9349,1.0
gradual|3src|brand,TF-Vote-NoDecay,0.8155,0.8948,0.9395,1.0
gradual|3src|brand,WV-static,0.8155,0.8927,0.9228,1.0
gradual|3src|brand+title,TF-Vote-Decay-3.0,0.8172,0.8755,0.9047,1.0
gradual|3src|brand+title,TF-Vote-NoDecay,0.8155,0.8756,0.9092,1.0
gradual|3src|brand+title,WV-static,0.8155,0.8701,0.885,1.0
gradual|3src|title,TF-Vote-Decay-3.0,0.8172,0.8987,0.941,1.0
gradual|3src|title,TF-Vote-NoDecay,0.8155,0.9003,0.9425,1.0
gradual|3src|title,WV-static,0.8155,0.8954,0.9319,1.0
gradual|5src|brand,TF-Vote-Decay-3.0,0.8172,0.8831,0.9153,1.0
gradual|5src|brand,TF-Vote-NoDecay,0.8155,0.8829,0.9153,1.0
gradual|5src|brand,WV-static,0.8155,0.8808,0.9002,1.0
gradual|5src|brand+title,TF-Vote-Decay-3.0,0.8172,0.8548,0.8623,1.0
gradual|5src|brand+title,TF-Vote-NoDecay,0.8155,0.8537,0.8608,1.0
gradual|5src|brand+title,WV-static,0.8155,0.8515,0.8487,1.0
gradual|5src|title,TF-Vote-Decay-3.0,0.8172,0.8887,0.9183,1.0
gradual|5src|title,TF-Vote-NoDecay,0.8155,0.8903,0.9183,1.0
gradual|5src|title,WV-static,0.8155,0.8887,0.9183,1.0
recurring|2src|brand,TF-Vote-Decay-3.0,0.8172,0.8824,0.941,1.0
recurring|2src|brand,TF-Vote-NoDecay,0.8155,0.8831,0.9425,1.0
recurring|2src|brand,WV-static,0.8155,0.863,0.9032,1.0
recurring|2src|brand+title,TF-Vote-Decay-3.0,0.8172,0.8641,0.9198,1.0
recurring|2src|brand+title,TF-Vote-NoDecay,0.8155,0.8647,0.9168,1.0
recurring|2src|brand+title,WV-static,0.8155,0.8297,0.8563,1.0
recurring|2src|title,TF-Vote-Decay-3.0,0.8172,0.8986,0.9501,1.0
recurring|2src|title,TF-Vote-NoDecay,0.8155,0.9011,0.947,1.0
recurring|2src|title,WV-static,0.8155,0.8847,0.9228,1.0
recurring|3src|brand,TF-Vote-Decay-3.0,0.8172,0.8577,0.9138,1.0
recurring|3src|brand,TF-Vote-NoDecay,0.8155,0.8568,0.9107,1.0
recurring|3src|brand,WV-static,0.8155,0.8447,0.879,1.0
recurring|3src|brand+title,TF-Vote-Decay-3.0,0.8172,0.8277,0.8759,1.0
recurring|3src|brand+title,TF-Vote-NoDecay,0.8155,0.8265,0.8699,1.0
recurring|3src|brand+title,WV-static,0.8155,0.8041,0.823,1.0
recurring|3src|title,TF-Vote-Decay-3.0,0.8172,0.887,0.9334,1.0
recurring|3src|title,TF-Vote-NoDecay,0.8155,0.8892,0.9319,1.0
recurring|3src|title,WV-static,0.8155,0.8773,0.9138,1.0
recurring|5src|brand,TF-Vote-Decay-3.0,0.8172,0.8339,0.8759,1.0
recurring|5src|brand,TF-Vote-NoDecay,0.8155,0.8339,0.8729,1.0
recurring|5src|brand,WV-static,0.8155,0.8221,0.8411,1.0
recurring|5src|brand+title,TF-Vote-Decay-3.0,0.8172,0.7819,0.8018,3.0
recurring|5src|brand+title,TF-Vote-NoDecay,0.8155,0.7801,0.7958,3.0
recurring|5src|brand+title,WV-static,0.8155,0.7644,0.7579,3.0
recurring|5src|title,TF-Vote-Decay-3.0,0.8172,0.865,0.8971,1.0
recurring|5src|title,TF-Vote-NoDecay,0.8155,0.8657,0.8956,1.0
recurring|5src|title,WV-static,0.8155,0.8602,0.8865,1.0
sudden|2src|brand,TF-Vote-Decay-3.0,0.8172,0.8743,0.9304,1.0
sudden|2src|brand,TF-Vote-NoDecay,0.8155,0.874,0.9319,1.0
sudden|2src|brand,WV-static,0.8155,0.847,0.8744,1.0
sudden|2src|brand+title,TF-Vote-Decay-3.0,0.8172,0.8516,0.9002,1.0
sudden|2src|brand+title,TF-Vote-NoDecay,0.8155,0.8523,0.9017,1.0
sudden|2src|brand+title,WV-static,0.8155,0.8064,0.8139,1.0
sudden|2src|title,TF-Vote-Decay-3.0,0.8172,0.8944,0.941,1.0
sudden|2src|title,TF-Vote-NoDecay,0.8155,0.8978,0.9425,1.0
sudden|2src|title,WV-static,0.8155,0.8774,0.9092,1.0
sudden|3src|brand,TF-Vote-Decay-3.0,0.8172,0.8453,0.8926,1.0
sudden|3src|brand,TF-Vote-NoDecay,0.8155,0.8429,0.8926,1.0
sudden|3src|brand,WV-static,0.8155,0.8226,0.8427,1.0
sudden|3src|brand+title,TF-Vote-Decay-0.1,0.8155,0.8105,0.8472,1.0
sudden|3src|brand+title,TF-Vote-Decay-0.3,0.8155,0.8141,0.8533,1.0
sudden|3src|brand+title,TF-Vote-Decay-1.0,0.8155,0.8156,0.8608,1.0
sudden|3src|brand+title,TF-Vote-Decay-3.0,0.8172,0.8101,0.8457,1.0
sudden|3src|brand+title,TF-Vote-Decay-5.0,0.8138,0.808,0.8411,1.0
sudden|3src|brand+title,TF-Vote-NoDecay,0.8155,0.8087,0.8457,1.0
sudden|3src|brand+title,WV-static,0.8155,0.774,0.7716,1.0
sudden|3src|title,TF-Vote-Decay-3.0,0.8172,0.8819,0.9244,1.0
sudden|3src|title,TF-Vote-NoDecay,0.8155,0.8852,0.9259,1.0
sudden|3src|title,WV-static,0.8155,0.8694,0.8986,1.0
sudden|5src|brand,TF-Vote-Decay-3.0,0.8172,0.8142,0.8457,1.0
sudden|5src|brand,TF-Vote-NoDecay,0.8155,0.8082,0.8381,1.0
sudden|5src|brand,WV-static,0.8155,0.7891,0.7897,1.0
sudden|5src|brand+title,TF-Vote-Decay-3.0,0.8172,0.7473,0.7458,
sudden|5src|brand+title,TF-Vote-NoDecay,0.8155,0.7416,0.7428,
sudden|5src|brand+title,WV-static,0.8155,0.7198,0.6868,
sudden|5src|title,TF-Vote-Decay-3.0,0.8172,0.8502,0.8714,1.0
sudden|5src|title,TF-Vote-NoDecay,0.8155,0.8529,0.8775,1.0
sudden|5src|title,WV-static,0.8155,0.8487,0.8669,1.0
